,JNK,JNK,JNK,JNK,JNK,LQD,LQD,LQD,LQD,LQD,MUB,MUB,MUB,MUB,MUB,TLT,TLT,TLT,TLT,TLT,UDN,UDN,UDN,UDN,UDN,UUP,UUP,UUP,UUP,UUP
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2013-01-02 00:00:00-05:00,41.05,41.05,40.96,41.03,6801481,120.96,121.31,120.81,121.27,3392382,110.74,111.85,110.485,111.8199,575337.0,119.77,119.9,119.41,119.57,6172066,27.28,27.3099,27.15,27.18,33539.0,21.74,21.85,21.72,21.82,782706.0
2013-01-03 00:00:00-05:00,40.95,41.03,40.89,40.94,6337005,121.14,121.18,120.56,120.6,2871556,111.85,111.88,111.6,111.8201,305978.0,119.38,119.49,117.9,117.94,8054325,27.08,27.1,26.95,26.96,72918.0,21.9,22.0,21.8873,21.99,1091846.0
2013-01-04 00:00:00-05:00,40.99,41.05,40.88,40.99,5081128,120.57,120.649,120.26,120.55,3998513,111.96,111.96,111.5,111.6,209939.0,117.66,118.44,117.36,118.4,8597981,26.9,26.97,26.89,26.95,146499.0,22.03,22.05,21.98,21.99,1022712.0
2013-01-07 00:00:00-05:00,40.93,41.09,40.89,41.08,5909999,120.69,120.8,120.51,120.72,2471978,111.26,111.95,111.11,111.76,235065.0,118.37,118.73,118.0,118.4249,3948219,26.94,27.04,26.932,27.04,41209.0,21.9901,22.01,21.92,21.93,1910335.0
2013-01-08 00:00:00-05:00,41.08,41.1,41.02,41.06,2958198,120.81,120.94,120.76,120.85,2138549,111.78,112.0,111.56,111.96,176870.0,119.03,119.29,118.82,119.22,3757316,26.99,27.01,26.961,27.005,38866.0,21.96,21.99,21.95,21.95,1134138.0
2013-01-09 00:00:00-05:00,41.12,41.14,41.07,41.1,2219845,120.98,121.0,120.79,120.8315,1697125,112.05,112.34,111.92,112.24,326622.0,119.25,119.54,118.87,119.1,3718204,26.91,26.95,26.892,26.92,22305.0,22.03,22.04,21.99,22.01,642063.0
2013-01-10 00:00:00-05:00,41.15,41.2,41.12,41.18,3508479,120.64,120.97,120.63,120.8587,1358220,111.7,112.23,111.66,112.1636,234442.0,118.63,119.3,118.36,118.78,5137252,27.11,27.238,27.11,27.21,37523.0,21.87,21.875,21.77,21.8,2177051.0
2013-01-11 00:00:00-05:00,41.17,41.25,41.13,41.21,2508945,120.73,121.11,120.66,121.04,725534,112.1,112.44,112.025,112.42,241089.0,118.51,119.86,118.35,119.84,3918262,27.32,27.32,27.255,27.28,39171.0,21.71,21.76,21.7,21.735,1044936.0
2013-01-14 00:00:00-05:00,41.21,41.236,41.11,41.2,2517366,121.19,121.19,120.83,120.8401,1482403,112.44,112.46,112.207,112.42,177083.0,120.05,120.28,119.37,119.53,2586727,27.28,27.34,27.2699,27.33,37087.0,21.73,21.75,21.69,21.705,833691.0
2013-01-15 00:00:00-05:00,41.13,41.21,41.09,41.2,3632152,120.99,121.14,120.67,120.8,2558100,112.5,112.5,112.3,112.34,149121.0,120.61,120.7,119.97,120.04,4803754,27.26,27.29,27.18,27.23,113585.0,21.75,21.81,21.72,21.77,1624975.0
2013-01-16 00:00:00-05:00,41.16,41.19,41.08,41.11,3556306,120.84,120.94,120.71,120.78,3538802,112.37,112.564,112.33,112.46,164420.0,120.62,120.684,120.01,120.36,4147221,27.21,27.22,27.172,27.19,63418.0,21.78,21.81,21.77,21.79,1114273.0
2013-01-17 00:00:00-05:00,41.15,41.29,41.14,41.26,3670734,120.57,120.61,120.3,120.5433,2149062,112.57,112.58,112.36,112.42,217258.0,119.33,119.55,118.75,119.13,5917527,27.21,27.26,27.2,27.23,28673.0,21.77,21.79,21.74,21.75,410710.0
2013-01-18 00:00:00-05:00,41.2,41.33,41.2,41.33,2349368,120.58,120.7925,120.48,120.7001,2170621,112.48,112.6399,112.42,112.61,216014.0,119.59,120.21,119.4601,120.01,4124498,27.1301,27.14,27.01,27.12,46933.0,21.84,21.905,21.83,21.85,652214.0
2013-01-22 00:00:00-05:00,41.36,41.37,41.27,41.35,2920716,120.53,120.78,120.38,120.68,1288319,112.62,112.66,112.47,112.5,259693.0,119.55,120.3,119.38,120.26,3539092,27.14,27.169,27.112,27.15,30359.0,21.83,21.86,21.81,21.83,626496.0
