date,6581963Q1,6581965D8,57583R5Q4,5741925B2,751100HG6,88283LHZ2,1301783X2,658256H70,93978HBK0,574193MP0,658256S78,34153PC55,34153QPX8,34153PG36,34153QTW6,34153PG44,373384PP5,917542QU9,399223BU9,345102JG3,574193NT1,574193KK3,574193LC0,915217WH2,797272KU4,797272KV2,68428PFH3,9151374C4,373384ZW9,414005B72,59524KAA6,88283LJT4,64971XRE0,64971QMS9,64971XUM8,658196PP9,442403LU3,5741925C0,8827227U9,88283LJA5,8827227S4,60636WRG2,658256H88,658256S86,34153QPY6,574193MQ8,736679KX8,57585KWC8,373385CF8,574193PA0,574193NU8,574193KL1,598223SW6,373384ZX7,882723SM2,88283LJU1,64971XUN6,64971QMT7,915217UE1,576029AS1,442403LW9,5741925D8,130178TQ9,88283LJB3,60636WRH0,8821357K6,8821357J9,658256S94,341422XX6,34153PY51,34153QPZ3,574193MR6,6582563C4,915217VC4,088281MJ6,088281MK3,91802RAV1,373385CG6,57585K3F3,880541SQ1,797272MY4,574193NV6,574193KM9,574193LE6,64971XGQ5,13068LKD6,373384ZY5,882723SN0,882723MX4,88283LJV9,64971WPA2,64971QMH3,64971XRH3,13067WKP6,442403LX7,930863T70,199492VG1,882723NG0,882723NH8,882723RQ4
1/1/2013,2.61,2.15,2.40,2.09,3.17,,,1.53,1.75,,,2.26,,2.16,,2.29,1.55,2.24,3.89,3.23,,,,,3.09,3.28,,1.71,1.61,,4.06,,,1.80,,3.25,,2.36,2.98,,2.92,,1.85,,,,2.72,1.66,,,,,,1.82,,,,2.10,,2.35,,2.56,1.89,,,,,,2.18,,,,,,,,,,1.78,2.04,,,,,,,1.99,,,,,2.16,,,,1.99,,,,
1/2/2013,2.602,2.12,2.36,1.995,3.178,,,1.651,1.741,,,2.327,,2.182,,2.331,1.557,2.063,3.898,3.16,,,,,3.012,3.222,,1.707,1.617,,4.051,,,1.853,,3.254,,2.281,2.949,,2.899,,1.862,,,,2.701,1.69,,,,,,1.834,,,,2.145,,2.455,,2.414,1.923,,,,,,2.239,,,,,,,,,,1.799,2.08,,,,,,,1.964,,,,,2.257,,,,2.041,,,,
1/3/2013,2.577,2.07,2.35,2.036,3.173,,,1.435,1.718,,,2.306,,2.186,,2.353,1.529,2.109,3.899,3.191,,,,,3.029,3.256,,1.682,1.602,,4.051,,,1.832,,3.236,,2.347,2.931,,2.896,,1.841,,,,2.784,1.683,,,,,,1.824,,,,2.18,,2.434,,2.46,2.059,,,,,,2.217,,,,,,,,,,1.794,2.063,,,,,,,2.005,,,,,2.246,,,,2.01,,,,
1/4/2013,2.591,2.12,2.44,2.03,3.181,,,1.446,1.729,,,2.327,,2.238,,2.363,1.537,2.165,3.956,3.207,,,,,2.905,3.135,,1.693,1.606,,4.089,,,1.839,,3.322,,2.263,2.989,,2.924,,1.858,,,,2.813,1.709,,,,,,1.83,,,,2.199,,2.452,,2.456,2.173,,,,,,2.239,,,,,,,,,,1.814,2.084,,,,,,,2.006,,,,,2.253,,,,2.005,,,,
1/5/2013,2.591,2.12,2.44,2.03,3.181,,,1.446,1.729,,,2.327,,2.238,,2.363,1.537,2.165,3.956,3.207,,,,,2.905,3.135,,1.693,1.606,,4.089,,,1.839,,3.322,,2.263,2.989,,2.924,,1.858,,,,2.813,1.709,,,,,,1.83,,,,2.199,,2.452,,2.456,2.173,,,,,,2.239,,,,,,,,,,1.814,2.084,,,,,,,2.006,,,,,2.253,,,,2.005,,,,
1/6/2013,2.591,2.12,2.44,2.03,3.181,,,1.446,1.729,,,2.327,,2.238,,2.363,1.537,2.165,3.956,3.207,,,,,2.905,3.135,,1.693,1.606,,4.089,,,1.839,,3.322,,2.263,2.989,,2.924,,1.858,,,,2.813,1.709,,,,,,1.83,,,,2.199,,2.452,,2.456,2.173,,,,,,2.239,,,,,,,,,,1.814,2.084,,,,,,,2.006,,,,,2.253,,,,2.005,,,,
1/7/2013,2.63,2.08,2.43,2.033,3.125,,,1.45,1.72,,,2.298,,2.219,,2.349,1.53,2.173,3.898,3.232,,,,,3.041,3.274,,1.679,1.591,,4.083,,,1.821,,3.31,,2.269,2.956,,2.929,,1.835,,,,2.802,1.683,,,,,,1.81,,,,2.174,,2.439,,2.434,2.186,,,,,,2.215,,,,,,,,,,1.792,2.073,,,,,,,1.994,,,,,2.232,,,,2.045,,,,
1/8/2013,2.615,2.07,2.42,1.993,3.094,,,1.442,1.713,,,2.287,,2.206,,2.337,1.52,2.142,3.868,3.212,,,,,3.056,3.25,,1.688,1.58,,4.032,,,1.813,,2.689,,2.228,2.816,,2.92,,1.828,,,,2.779,1.683,,,,,,1.794,,,,2.144,,2.429,,2.409,2.166,,,,,,2.192,,,,,,,,,,1.791,2.055,,,,,,,1.962,,,,,2.213,,,,1.985,,,,
1/9/2013,2.433,1.99,2.37,1.975,3.047,,,1.376,1.634,,,2.212,,2.137,,2.279,1.348,2.098,3.528,3.163,,,,,3.041,3.21,,1.61,1.466,,4.025,,,1.742,,2.623,,2.225,2.741,,2.91,,1.761,,,,2.663,1.565,,,,,,1.683,,,,2.073,,2.351,,2.392,2.123,,,,,,2.125,,,,,,,,,,1.692,1.961,,,,,,,1.88,,,,,2.157,,,,1.936,,,,
1/10/2013,2.365,1.97,2.39,2.024,3.121,,,1.352,1.617,,,2.197,,2.121,,2.253,1.335,2.16,3.625,3.217,,,,,3.051,3.2,,1.602,1.443,,4.037,,,1.732,,2.572,,2.25,2.766,,2.896,,1.732,,,,2.764,1.608,,,,,,1.656,,,,2.06,,2.33,,2.445,2.115,,,,,,2.114,,,,,,,,,,1.747,1.949,,,,,,,1.807,,,,,2.144,,,,1.907,,,,
1/11/2013,2.377,1.99,2.34,2.013,3.054,,,1.363,1.63,,,2.206,,2.112,,2.257,1.405,2.162,3.577,3.165,,,,,2.964,3.11,,1.616,1.457,,4.007,,,1.741,,2.629,,2.25,2.749,,2.87,,1.757,,,,2.665,1.646,,,,,,1.676,,,,2.079,,2.36,,2.444,2.111,,,,,,2.13,,,,,,,,,,1.762,1.904,,,,,,,1.801,,,,,2.13,,,,1.86,,,,
1/12/2013,2.377,1.99,2.34,2.013,3.054,,,1.363,1.63,,,2.206,,2.112,,2.257,1.405,2.162,3.577,3.165,,,,,2.964,3.11,,1.616,1.457,,4.007,,,1.741,,2.629,,2.25,2.749,,2.87,,1.757,,,,2.665,1.646,,,,,,1.676,,,,2.079,,2.36,,2.444,2.111,,,,,,2.13,,,,,,,,,,1.762,1.904,,,,,,,1.801,,,,,2.13,,,,1.86,,,,
1/13/2013,2.377,1.99,2.34,2.013,3.054,,,1.363,1.63,,,2.206,,2.112,,2.257,1.405,2.162,3.577,3.165,,,,,2.964,3.11,,1.616,1.457,,4.007,,,1.741,,2.629,,2.25,2.749,,2.87,,1.757,,,,2.665,1.646,,,,,,1.676,,,,2.079,,2.36,,2.444,2.111,,,,,,2.13,,,,,,,,,,1.762,1.904,,,,,,,1.801,,,,,2.13,,,,1.86,,,,
1/14/2013,2.382,1.99,2.27,2.005,3.07,,,1.366,1.64,,,2.202,,2.125,,2.246,1.416,2.156,3.899,3.189,,,,,2.924,3.075,,1.66,1.472,,4.003,,,1.747,,2.591,,2.253,2.732,,2.877,,1.742,,,,2.654,1.617,,,,,,1.672,,,,2.07,,2.326,,2.445,2.108,,,,,,2.127,,,,,,,,,,1.75,1.907,,,,,,,1.847,,,,,2.133,,,,1.853,,,,
1/15/2013,2.363,1.97,2.26,1.976,2.914,,,1.344,1.586,,,2.175,,2.119,,2.22,1.392,2.125,3.893,3.215,,,,,2.917,3.081,,1.637,1.445,,3.998,,,1.723,,2.578,,2.231,2.721,,2.9,,1.83,,,,2.611,1.602,,,,,,1.652,,,,2.056,,2.322,,2.415,2.1,,,,,,2.106,,,,,,,,,,1.737,1.898,,,,,,,1.832,,,,,2.114,,,,1.829,,,,
1/16/2013,2.401,2.15,2.20,1.973,2.934,,,1.334,1.572,,,2.123,,2.075,,2.163,1.329,2.169,3.885,3.122,,,,,2.897,3.081,,1.622,1.437,,3.959,,,1.698,,2.563,,2.241,2.671,,2.89,,1.813,,,,2.623,1.571,,,,,,1.638,,,,2.019,,2.307,,2.416,2.055,,,,,,2.067,,,,,,,,,,1.681,1.829,,,,,,,1.789,,,,,2.056,,,,1.776,,,,
1/17/2013,2.407,2.15,2.21,1.988,2.897,,,1.344,1.571,,,2.138,,2.087,,2.188,1.332,2.219,3.827,3.106,,,,,2.87,3.063,,1.624,1.446,,3.953,,,1.69,,2.664,,2.197,2.653,,2.889,,1.717,,,,2.637,1.587,,,,,,1.642,,,,2.02,,2.311,,2.324,2.067,,,,,,2.077,,,,,,,,,,1.704,1.82,,,,,,,1.813,,,,,2.061,,,,1.8,,,,
1/18/2013,2.414,2.15,2.13,1.97,2.926,,,1.351,1.572,,,2.113,,2.073,,2.16,1.336,2.184,3.841,3.113,,,,,2.772,2.969,,1.642,1.452,,3.917,,,1.692,,2.666,,2.197,2.534,,2.899,,1.716,,,,2.612,1.595,,,,,,1.647,,,,2.019,,2.321,,2.305,2.055,,,,,,2.054,,,,,,,,,,1.701,1.797,,,,,,,1.807,,,,,2.052,,,,1.778,,,,
1/19/2013,2.414,2.15,2.13,1.97,2.926,,,1.351,1.572,,,2.113,,2.073,,2.16,1.336,2.184,3.841,3.113,,,,,2.772,2.969,,1.642,1.452,,3.917,,,1.692,,2.666,,2.197,2.534,,2.899,,1.716,,,,2.612,1.595,,,,,,1.647,,,,2.019,,2.321,,2.305,2.055,,,,,,2.054,,,,,,,,,,1.701,1.797,,,,,,,1.807,,,,,2.052,,,,1.778,,,,
1/20/2013,2.414,2.15,2.13,1.97,2.926,,,1.351,1.572,,,2.113,,2.073,,2.16,1.336,2.184,3.841,3.113,,,,,2.772,2.969,,1.642,1.452,,3.917,,,1.692,,2.666,,2.197,2.534,,2.899,,1.716,,,,2.612,1.595,,,,,,1.647,,,,2.019,,2.321,,2.305,2.055,,,,,,2.054,,,,,,,,,,1.701,1.797,,,,,,,1.807,,,,,2.052,,,,1.778,,,,
1/21/2013,2.414,2.15,2.13,1.97,2.926,,,1.351,1.572,,,2.113,,2.073,,2.16,1.336,2.184,3.841,3.113,,,,,2.772,2.969,,1.642,1.452,,3.917,,,1.692,,2.666,,2.197,2.534,,2.899,,1.716,,,,2.612,1.595,,,,,,1.647,,,,2.019,,2.321,,2.305,2.055,,,,,,2.054,,,,,,,,,,1.701,1.797,,,,,,,1.807,,,,,2.052,,,,1.778,,,,
